type, lepton.pt(), lepton.eta(), lepton.phi(), b_jet.pt(), b_jet.eta(), b_jet.phi(), etmiss.et(), etmiss.phi(), InvMass, TransMass, lepton.isTruth()
1, 9.877403e+01, -2.094312e+00, -1.441631e+00, 7.653605e+01, 1.965976e+00, -2.859158e+00, 7.347391e+01, -1.063518e+00, 6.606054e+02, 3.201989e+01, 1
1, 6.511949e+02, 3.888604e-01, 9.358078e-01, 1.474733e+02, 3.106279e-02, -2.603307e+00, 1.918431e+02, 7.403831e-01, 6.188544e+02, 6.896309e+01, 1
1, 1.170225e+02, -1.004956e-02, -1.476722e+00, 1.915204e+02, 2.618111e-01, -9.551638e-01, 5.552734e+02, -1.126236e+00, 8.928262e+01, 8.888604e+01, 1
1, 3.313092e+01, 1.759525e+00, -1.530641e-01, 4.210390e+02, 1.227751e+00, -7.385887e-01, 1.606820e+02, 2.221391e+00, 1.024555e+02, 1.353216e+02, 1
1, 1.181799e+02, 3.569117e-01, 2.914449e+00, 4.123997e+01, 9.959418e-01, 2.097001e+00, 1.033391e+02, 2.794374e+00, 7.268651e+01, 1.326154e+01, 1
1, 1.345122e+02, 9.731327e-01, -2.198226e+00, 5.137567e+01, -1.340070e+00, 4.701126e-01, 4.606317e+02, -2.250795e+00, 2.879801e+02, 1.308389e+01, 1
1, 8.624244e+01, -1.611912e-01, 6.375175e-01, 1.393568e+02, -8.603082e-01, 3.729776e-01, 4.009311e+02, 5.573844e-01, 8.491187e+01, 1.489674e+01, 1
1, 2.645462e+01, 3.107813e-01, 2.471641e+00, 1.884557e+02, -7.121188e-02, -2.964602e+00, 5.292037e+02, 2.912207e+00, 6.567520e+01, 5.170775e+01, 1
1, 1.005761e+02, -2.127768e+00, -2.130955e+00, 2.226964e+02, -2.304785e+00, -2.782016e+00, 4.628539e+01, -2.783772e+00, 1.026715e+02, 4.375443e+01, 1
1, 5.584021e+02, 1.702411e-01, -5.251045e-01, 1.338271e+02, 5.842559e-01, -7.681766e-01, 3.861313e+02, 2.514270e+00, 1.369757e+02, 9.274778e+02, 1
1, 2.258620e+02, -9.002680e-01, 2.754985e-01, 1.355804e+02, -1.048713e+00, -1.660864e-01, 1.689243e+02, 5.143757e-01, 8.250437e+01, 4.654890e+01, 1
1, 1.187312e+02, -1.348130e+00, -6.884037e-01, 3.041503e+02, -1.690869e+00, -4.354788e-01, 3.113320e+02, 2.588632e+00, 8.456965e+01, 3.836433e+02, 1
1, 4.650148e+01, 1.702334e+00, -2.104542e+00, 1.294758e+02, 6.270882e-01, -2.573524e+00, 3.143403e+02, -2.039461e+00, 9.636235e+01, 7.867076e+00, 1
1, 4.238239e+02, -1.176667e+00, 1.354338e+00, 5.224364e+01, -5.955206e-01, 1.346417e+00, 2.375508e+02, -1.697618e+00, 9.228308e+01, 6.339641e+02, 1
1, 1.350629e+02, -1.397939e+00, 1.764118e+00, 3.316184e+02, 2.882062e-01, -2.173589e+00, 8.858225e+01, 2.982867e+00, 5.633110e+02, 1.252093e+02, 1
1, 3.198629e+02, -1.542323e-01, -1.599788e+00, 3.889792e+02, 7.712976e-01, 1.407765e+00, 2.220085e+02, -1.768324e+00, 7.823701e+02, 4.485867e+01, 1
1, 1.742276e+02, -5.524811e-01, 2.503138e+00, 2.364663e+02, 3.215084e-01, -8.011343e-01, 4.343974e+02, -9.536908e-01, 4.450495e+02, 5.433940e+02, 1
1, 1.118814e+02, 3.432487e-01, -2.959773e-01, 2.098484e+02, 8.918684e-01, -3.443683e-01, 5.396356e+02, -2.911362e-01, 8.892644e+01, 1.189513e+00, 1
